category,question,answer,original_question
FAQ_generale,faut être fort informatique suivre formations !,"Non, nos formations sont accessibles à tous. Nous proposons des modules d'initiation pour les débutants.",faut-il être fort en informatique pour suivre les formations
FAQ_generale,quelle différence formation présentiel !,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,quel est le différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,je veux savoir quelle différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,donne moi différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,quelle différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,savoir quelle différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,quelle différence formation présentiel?,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,j'aimerais connaître quelle différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,donne moi la différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,quel différence formation présentiel,Même qualité d'enseignement mais avec une flexibilité horaire et géographique. Mêmes diplômes délivrés.,quelle est la différence avec une formation en présentiel
FAQ_generale,savoir assurée qualité enseignement,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,assurée qualité enseignement,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,assurée qualité enseignement?,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,j'aimerais connaître assurée qualité enseignement,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,assurée qualité enseignement !,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,je veux savoir assurée qualité enseignement,"Par une équipe pédagogique qualifiée, des ressources de qualité et un système d'évaluation rigoureux.",comment est assurée la qualité de l'enseignement
FAQ_generale,savoir limite âge inscrire,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,je veux savoir limite âge inscrire,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,limite âge inscrire !,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,limite âge inscrire?,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,limite âge inscrire,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,j'aimerais connaître limite âge inscrire,"Non, il n'y a pas de limite d'âge. Nous accueillons des étudiants de tous âges.",y a-t-il une limite d'âge pour s'inscrire
FAQ_generale,peut suivre plusieurs formations même temps?,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
FAQ_generale,peut suivre plusieurs formations même temps,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
FAQ_generale,savoir peut suivre plusieurs formations même temps,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
FAQ_generale,j'aimerais connaître peut suivre plusieurs formations même temps,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
FAQ_generale,je veux savoir peut suivre plusieurs formations même temps,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
FAQ_generale,peut suivre plusieurs formations même temps !,"Nous le déconseillons pour garantir la qualité de l'apprentissage, sauf pour des formations courtes complémentaires.",peut-on suivre plusieurs formations en même temps
frais,quels sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,donne moi les sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,énumère sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,quelles sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,liste sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,quels sont frais scolarité !,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,quelles sont sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,énumère les sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,donne moi sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,savoir quels sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,j'aimerais connaître quels sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,je veux savoir quels sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,quelles sont les sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,liste des sont frais scolarité,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,quels sont frais scolarité?,"Nos tarifs pour l'année universitaire :
- Licence Informatique admis au test (zone UEMAO): (Etudiants: 16 500 FCFA/an, Particuliers: 51 500 FCFA/an)
- Licence Informatique admis au test (hors UEMAO):252 000 FCFA/an
- Licence Informatique admis sur titre (zone UEMAO): (Etudiants: 250 000 + 16 500 FCFA/an, particuliers: 250 000 + 51 500FCFA/an)
- Master Data Science (zone UEMAO) : (Etudiants:700 000 + 16 500FCFA/an, particulier: 700 000 + 51 500/an)
- Master Data Science (hors UEMAO) : (Etudiants:700 000 + 252 000FCFA/an)- Bachelor Développement Web : 250 000 FCFA/an
- Formation Cybersécurité : 250 000 FCFA/an
- MBA Digital Marketing : 250 000 FCFA/an",quels sont les frais de scolarité
frais,tarifs formations?,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,tarifs formations !,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,tarifs formations,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,je veux savoir tarifs formations,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,savoir tarifs formations,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,j'aimerais connaître tarifs formations,"Les frais de scolarité incluent l'accès à la plateforme pédagogique, le suivi tutoré et les ressources d'apprentissage. Des frais de dossier de 90€ s'ajoutent à la première inscription.",tarifs formations
frais,modalités paiement,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,je veux savoir modalités paiement,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,j'aimerais connaître modalités paiement,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,savoir modalités paiement,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,modalités paiement?,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,modalités paiement !,"Plusieurs modalités de paiement sont possibles :
- Paiement en intégralité
- Paiement en trois (3) tranches ",modalités de paiement
frais,j'aimerais connaître bourses aides financières,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,bourses aides financières?,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,savoir bourses aides financières,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,bourses aides financières !,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,je veux savoir bourses aides financières,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,bourses aides financières,"Nous ne proposons pas de bourses, mais les étudiants peuvent bénéficier de bourses nationales ou des institutions partenaires de l'État.
 La plupart des étudiants auto-financent leur formation.",bourses aides financières
frais,frais dossier,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,frais dossier?,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,j'aimerais connaître frais dossier,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,frais dossier !,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,savoir frais dossier,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,je veux savoir frais dossier,Les frais de dossier sont de 25 000 FCFA pour toutes les formations et ne sont pas remboursables.,frais de dossier
frais,je veux savoir paiement tranches,"Le paiement en trois tranches :
- 1ère tranche : 40% à l'inscription
- 2ème tranche : 30% au début du 2ème semestre
- 3ème tranche : 30% au milieu du 2ème semestre",paiement en tranches
frais,paiement tranches?,"Le paiement en trois tranches :
- 1ère tranche : 40% à l'inscription
- 2ème tranche : 30% au début du 2ème semestre
- 3ème tranche : 30% au milieu du 2ème semestre",paiement en tranches
frais,paiement tranches !,"Le paiement en trois tranches :
- 1ère tranche : 40% à l'inscription
- 2ème tranche : 30% au début du 2ème semestre
- 3ème tranche : 30% au milieu du 2ème semestre",paiement en tranches
frais,j'aimerais connaître paiement tranches,"Le paiement en trois tranches :
- 1ère tranche : 40% à l'inscription
- 2ème tranche : 30% au début du 2ème semestre
- 3ème tranche : 30% au milieu du 2ème semestre",paiement en tranches
